300.0,150.0,-8810794
250.0,150.0,-7818868
350.0,300.0,-8353809
550.0,250.0,-7040818
450.0,150.0,-6900230
450.0,350.0,-8478085
550.0,350.0,-8782630
450.0,200.0,-6713702
300.0,200.0,-8406022
200.0,300.0,-7290916
200.0,450.0,-8740225
300.0,450.0,-6960156
300.0,350.0,-7428642
250.0,350.0,-7756641
200.0,400.0,-8349793
300.0,400.0,-7735870
200.0,400.0,-8147971
200.0,500.0,-7374155
250.0,500.0,-7868182
250.0,450.0,-8784182
250.0,400.0,-8278288
250.0,400.0,-7817488
150.0,350.0,-6779467
150.0,400.0,-8481906
150.0,450.0,-8357418
100.0,450.0,-8352799
100.0,400.0,-8459835
100.0,350.0,-7603737
50.0,350.0,-6893861
50.0,400.0,-7303511
50.0,400.0,-7239194
50.0,450.0,-8202623
50.0,250.0,-6767404
100.0,300.0,-7695748
50.0,300.0,-7627272
150.0,300.0,-8726849
150.0,250.0,-8720163
50.0,250.0,-7040276
200.0,250.0,-7308080
